KEY,English,PortugueseBR,SpanishLA
DailyQuestsBody,Three jobs a day. They reset with the trusted clock.,Três tarefas por dia. Reiniciam com o relógio confiável.,Tres tareas al día. Se reinician con el reloj confiable.
ClaimShards,CLAIM [shards] SHARDS,RECEBER [shards] CACOS,RECLAMAR [shards] ESQUIRLAS
Claimed,CLAIMED,RECEBIDO,RECLAMADO
ClaimedToday,CLAIMED TODAY,RECEBIDO HOJE,RECLAMADO HOY
InProgress,IN PROGRESS,EM ANDAMENTO,EN PROGRESO
Saving,SAVING…,SALVANDO…,GUARDANDO…
LocalClaimNote,"Local-browser claims persist for development but are never presented as RUN-authoritative.","Recompensas locais persistem para desenvolvimento, mas nunca são apresentadas como oficiais da RUN.","Los reclamos locales persisten para desarrollo, pero nunca se presentan como oficiales de RUN."
KickerSettings,COMFORT + ACCESS,CONFORTO + ACESSO,COMODIDAD + ACCESO
SettingsMusic,AMBIENCE,AMBIENTE,AMBIENTE
SettingsMusicVolume,AMBIENCE VOLUME,VOLUME DO AMBIENTE,VOLUMEN DEL AMBIENTE
SettingsSfx,SOUND EFFECTS,EFEITOS SONOROS,EFECTOS DE SONIDO
SettingsSfxVolume,EFFECTS VOLUME,VOLUME DOS EFEITOS,VOLUMEN DE EFECTOS
SettingsHaptics,HAPTICS,VIBRAÇÃO,VIBRACIÓN
SettingsReducedMotion,REDUCED MOTION,MOVIMENTO REDUZIDO,MOVIMIENTO REDUCIDO
SettingsNotifications,REMINDERS,LEMBRETES,RECORDATORIOS
SettingsLanguage,LANGUAGE,IDIOMA,IDIOMA
SettingsQuality,EFFECTS DETAIL,DETALHE DOS EFEITOS,DETALLE DE EFECTOS
SettingsLow,LOW,BAIXO,BAJO
SettingsHigh,HIGH,ALTO,ALTO
SettingsUnavailable,NOT SUPPORTED ON THIS DEVICE,NÃO SUPORTADO NESTE APARELHO,NO COMPATIBLE CON ESTE DISPOSITIVO
ToggleOn,ON,LIGADO,ACTIVO
ToggleOff,OFF,DESLIGADO,INACTIVO
ToggleAsk,ASK,PERGUNTAR,PREGUNTAR
NotificationFailed,REMINDER REQUEST FAILED,FALHA AO PEDIR LEMBRETE,FALLÓ LA SOLICITUD DE RECORDATORIO
NotificationConsentNote,Reminder consent changes only after the RUN host confirms the requested state.,O consentimento muda apenas após a RUN confirmar o estado solicitado.,El consentimiento cambia solo tras la confirmación de RUN.
HapticSent,HAPTIC SENT,VIBRAÇÃO ENVIADA,VIBRACIÓN ENVIADA
HapticUnsupported,HAPTICS NEED A SUPPORTED DEVICE,A VIBRAÇÃO EXIGE UM APARELHO COMPATÍVEL,LA VIBRACIÓN REQUIERE UN DISPOSITIVO COMPATIBLE
NotificationTitle,LEADLIGHT,LEADLIGHT,LEADLIGHT
NotificationReEngagementBody,The kiln is cold and there is glass on the bench.,O forno esfriou e há vidro na bancada.,El horno está frío y hay vidrio en el banco.
